area_code,migrant?,male?,muslim?,age,value
1,false,true,true,48,491
1,false,true,true,49,491
1,false,true,true,50,491
1,false,true,true,51,491
1,false,true,true,52,491
1,false,true,true,53,491
1,false,true,true,54,491
1,false,true,true,55,301
1,false,true,true,56,301
1,false,true,true,57,301
1,false,true,true,58,301
1,false,true,true,59,301
1,false,true,true,60,301
1,false,true,true,61,301
1,false,true,true,62,301
1,false,true,true,63,301
1,false,true,true,64,301
1,false,true,true,65,172
1,false,true,true,66,172
1,false,true,true,67,172
1,false,true,true,68,172
1,false,true,true,69,172
1,false,true,true,70,172
1,false,true,true,71,172
1,false,true,true,72,172
1,false,true,true,73,172
1,false,true,true,74,172
1,false,true,true,75,172
1,false,true,true,76,172
1,false,true,true,77,172
1,false,true,true,78,172
1,false,true,true,79,172
1,false,true,true,80,13.2
1,false,true,true,81,13.2
1,false,true,true,82,13.2
1,false,true,true,83,13.2
1,false,true,true,84,13.2
1,false,true,true,85,13.2
1,false,true,true,86,13.2
1,false,true,true,87,13.2
1,false,true,true,88,13.2
1,false,true,true,89,13.2
1,false,true,true,90,13.2
1,false,true,true,91,13.2
1,false,true,true,92,13.2
1,false,true,true,93,13.2
1,false,true,true,94,13.2
1,false,true,true,95,13.2
1,false,true,true,96,13.2
1,false,true,true,97,13.2
1,false,true,true,98,13.2
1,false,true,true,99,13.2
1,false,true,true,100,13.2
1,false,true,true,101,13.2
1,false,true,true,102,13.2
1,false,true,true,103,13.2
1,false,true,true,104,13.2
1,false,true,true,105,13.2
1,false,true,true,106,13.2
1,false,true,true,107,13.2
1,false,true,true,108,13.2
1,false,true,true,109,13.2
1,false,true,true,110,13.2
1,false,true,true,111,13.2
1,false,true,true,112,13.2
1,false,true,true,113,13.2
1,false,true,true,114,13.2
1,false,true,true,115,13.2
1,false,true,true,116,13.2
1,false,true,true,117,13.2
1,false,true,true,118,13.2
1,false,true,true,119,13.2
1,true,false,false,16,50
1,true,false,false,17,50
1,true,false,false,18,90
1,true,false,false,19,90
1,true,false,false,20,90
1,true,false,false,21,90
1,true,false,false,22,90
1,true,false,false,23,90
1,true,false,false,24,90
1,true,false,false,25,180.93333333333334
1,true,false,false,26,180.93333333333334
1,true,false,false,27,180.93333333333334
1,true,false,false,28,180.93333333333334
1,true,false,false,29,180.93333333333334
1,true,false,false,30,180.93333333333334
1,true,false,false,31,180.93333333333334
1,true,false,false,32,180.93333333333334
1,true,false,false,33,180.93333333333334
1,true,false,false,34,180.93333333333334
1,true,false,false,35,180.93333333333334
1,true,false,false,36,180.93333333333334
1,true,false,false,37,180.93333333333334
1,true,false,false,38,180.93333333333334
1,true,false,false,39,180.93333333333334
1,true,false,false,40,180.93333333333334
1,true,false,false,41,180.93333333333334
1,true,false,false,42,180.93333333333334
