immigrant?,male?,muslim?,age,integration,trust,deprivation,fundamentalism
0.0,0,0.0,1.0,"[1.272727272727273, 0.7272727272727271, -0.5454545454545454, -0.5454545454545454, -0.5454545454545454, 0.18181818181818166, 0.36363636363636376, 0.7272727272727271, 0.18181818181818166, 0.5454545454545454, 0.18181818181818166, 0.5454545454545454, 0.18181818181818166, 0.5454545454545454, 0.0, 0.36363636363636376, 0.36363636363636376, 1.0909090909090908, -0.18181818181818188, 0.0, 0.5454545454545454, 1.4545454545454546, 0.0, -0.18181818181818188, -0.36363636363636354, 0.36363636363636376, -0.36363636363636354, -0.18181818181818188, -0.5454545454545454, 0.5454545454545454, -2.0, 0.5454545454545454, -0.7272727272727273, 0.0, -0.9090909090909092, -0.5454545454545454, 0.0, -0.9090909090909092, -1.8181818181818181, -1.8181818181818181, -1.0909090909090908, -0.36363636363636354, -0.36363636363636354, -0.5454545454545454, 0.36363636363636376, -0.36363636363636354, -0.18181818181818188, -0.18181818181818188, 0.36363636363636376, 0.7272727272727271, 0.18181818181818166, -0.18181818181818188, -0.36363636363636354, 0.36363636363636376, -0.18181818181818188, -0.18181818181818188, -0.9090909090909092, 0.7272727272727271, 0.5454545454545454, -0.36363636363636354, -0.9090909090909092, 0.7272727272727271, -0.7272727272727273, -0.7272727272727273, -0.7272727272727273, -0.36363636363636354, 0.18181818181818166, -0.7272727272727273, -0.7272727272727273, 0.0, 0.5454545454545454, -0.18181818181818188, -0.5454545454545454]","[1.375, 1.125, 0.625, 2.0, 0.375, -0.25, 1.0, 0.25, 0.0, 0.625, -0.375, 0.375, -0.125, -0.875, 0.25, 0.25, 0.875, 1.375, 0.125, 0.875, 1.375, 1.0, 1.125, 0.25, 0.0, -0.75, 0.5, 0.125, -0.875, 0.5, -1.75, -1.5, 0.375, 0.0, 0.5, 0.75, 1.0, 0.875, -0.625, 0.125, -0.125, 0.75, 0.625, -0.125, 0.625, 0.25, 1.125, 0.0, -0.125, 0.125, 1.375, -0.125, 0.5, 0.125, 1.0, 0.625, 0.375, 0.75, 0.75, 0.625, 0.125, 1.125, 0.875, 0.25, 0.375, 1.125, 0.5, 0.5, 0.375, 1.5, 0.75, 0.25, 0.875]","[0.7922248995983936, 0.6894136546184741, 0.8767871485943775, 0.0542971887550201, -0.6250281124497992, -0.03026506024096376, 0.09465060240963874, -0.08886746987951799, 0.1913188755020081, -0.1171148594377509, 0.16508915662650603, 0.29413012048192755, -0.2522088353413654, 0.7902971887550203, -0.45783132530120474, -0.1171148594377509, -0.3790522088353414, -0.25413654618473913, 1.280321285140562, 0.7115180722891568, -0.15132530120481924, 0.9978473895582329, 0.9795983935742969, 0.8931084337349398, 1.201542168674699, 1.2034698795180723, -1.0746987951807228, -0.3569477911646588, 0.5462489959839356, 1.4071646586345383, -2.0, 1.1852208835341367, 1.144867469879518, 0.27624096385542174, 0.570281124497992, 0.15710843373493955, -0.19167871485943766, 0.11675502008032135, -1.1775100401606426, 0.9815261044176706, 0.8787148594377512, 0.8081863453815261, 0.7336224899598394, 0.056224899598393385, -0.00816064257028093, 0.1974618473895582, 0.9392449799196787, -0.2522088353413654, -0.04053333333333331, 0.6874859437751004, -0.3569477911646588, 0.17719518072289153, -0.5222168674698795, -0.5001124497991969, -1.0766265060240965, 0.15710843373493955, 0.8950361445783135, 0.7902971887550203, -1.3850602409638553, 0.528, -0.3368610441767066, -1.116979919678715, -0.00816064257028093, 0.11675502008032135, 0.4997526104417669, -1.5099759036144578, -0.03219277108433727, -0.04658634538152606, 0.11675502008032135, 0.0139437751004019, 0.11675502008032135, -0.3569477911646588, 0.17719518072289153]","[0.1900452488687785, 0.37104072398190047, 0.15384615384615374, 1.0950226244343892, 0.8959276018099547, 0.5158371040723981, -0.02714932126696823, 0.2986425339366514, 0.47963800904977383, 0.5882352941176472, -0.407239819004525, 0.2262443438914028, -0.17194570135746612, 0.6968325791855206, 0.5520361990950224, -0.2262443438914028, 0.02714932126696823, 1.3665158371040724, 0.570135746606335, 1.3303167420814481, 1.0226244343891402, 1.2760180995475112, 0.24434389140271495, -0.3529411764705883, -0.15384615384615374, 1.1493212669683257, 0.2986425339366514, 1.5837104072398192, -0.6968325791855203, -0.3529411764705883, -2.0, -0.9683257918552035, 1.2941176470588234, -0.1357466063348416, 1.4027149321266967, 0.8597285067873304, 0.7692307692307692, 1.004524886877828, 1.7828054298642533, 1.4570135746606336, 1.4751131221719458, 0.009049773755656076, 0.4072398190045248, 0.497737556561086, 0.1357466063348416, 0.932126696832579, 1.0226244343891402, 0.7692307692307692, 1.2760180995475112, 1.076923076923077, 0.5339366515837103, 0.6968325791855206, 0.8416289592760182, 0.04524886877828038, 0.9502262443438916, 0.497737556561086, 1.0226244343891402, 0.9502262443438916, 0.8235294117647061, -0.497737556561086, 0.8778280542986425, 0.497737556561086, 0.9502262443438916, 0.8959276018099547, 0.3891402714932126, 0.33484162895927616, 0.7873303167420813, -0.009049773755656076, -0.15384615384615374, 0.2624434389140271, 0.9864253393665159, 0.9140271493212668, 1.257918552036199]"
0.0,0,1.0,1.0,[-0.15151515151515157],[0.7678571428571429],[0.788540829986613],[1.0769230769230769]
1.0,0,0.0,1.0,"[0.36363636363636376, -0.5454545454545454]","[1.125, -0.75]","[-1.3226024096385542, 0.056224899598393385]","[0.9683257918552037, 1.3846153846153846]"
1.0,0,1.0,1.0,[-0.7272727272727273],[-0.5],[-0.00816064257028093],[1.0407239819004523]
0.0,1,0.0,1.0,"[-0.36363636363636354, 1.0909090909090908, 0.5454545454545454, -0.18181818181818188, 0.5454545454545454, -0.18181818181818188, 0.36363636363636376, 0.0, 0.36363636363636376, -0.18181818181818188, -0.18181818181818188, -0.36363636363636354, -0.18181818181818188, 0.18181818181818166, -0.18181818181818188, -0.18181818181818188, 0.5454545454545454, 0.18181818181818166, 0.0, 0.5454545454545454, -1.2727272727272727, -0.5454545454545454, -0.36363636363636354, -0.9090909090909092, -0.5454545454545454, 0.36363636363636376, -0.7272727272727273, -0.18181818181818188, -0.18181818181818188, -0.9090909090909092, 0.18181818181818166, 0.0, -0.5454545454545454, -1.0909090909090908, 0.0, 0.5454545454545454, -0.5454545454545454, 0.7272727272727271, 0.0, -0.9090909090909092, -0.7272727272727273, -0.36363636363636354, -0.18181818181818188, 0.36363636363636376, 0.5454545454545454, 0.36363636363636376, 0.18181818181818166, 0.18181818181818166, 0.5454545454545454, 0.36363636363636376, 0.18181818181818166, 0.7272727272727271, -0.9090909090909092, 0.36363636363636376, 0.0, -0.36363636363636354, -0.18181818181818188, 0.18181818181818166, 0.5454545454545454, 0.0, 0.0, 0.18181818181818166, -0.18181818181818188, -0.18181818181818188, 0.18181818181818166, 1.6363636363636362, 0.18181818181818166, 0.0, 0.0, -0.18181818181818188]","[0.5, 0.625, 0.5, 0.75, 0.625, 0.875, 0.625, 1.0, 0.25, 0.625, -1.0, 1.375, 0.625, -0.125, 1.125, 0.625, 1.0, -1.125, 0.0, 0.375, -2.0, 0.75, 1.125, -0.75, 1.75, 0.875, 1.75, -0.25, 1.5, 0.25, 0.5, -0.5, 1.5, 0.0, 0.5, 0.25, 0.875, 0.875, 1.0, 0.0, 0.375, 1.0, 1.625, -1.25, 0.25, 1.0, 1.0, 1.25, 1.25, 0.5, -0.375, 0.125, 0.375, 0.5, -0.125, 0.625, 0.375, -0.5, 0.0, 1.875, 0.75, 0.875, 1.875, 1.125, 2.0, 2.0, 1.625, 0.25, 0.625, 1.5]","[0.9574939759036143, 0.9795983935742969, 1.0420562248995986, 0.9978473895582329, 0.29413012048192755, 0.03219277108433749, 0.4818634538152611, -0.8306506024096387, 0.25991967871485944, 0.4251887550200806, -0.04658634538152606, 0.8546827309236948, 0.03219277108433749, -0.19167871485943766, 0.8950361445783135, 0.0706184738955824, 1.1006586345381528, 0.7336224899598394, 0.6711646586345381, -0.33869879518072277, 0.6730923694779118, -0.04658634538152606, 0.6595983935742971, 1.3043534136546184, -0.35502008032128507, 0.04658634538152606, -0.3790522088353414, -0.17342971887550207, 0.5866024096385543, 0.9392449799196787, 0.8931084337349398, 0.4837911646586348, -1.3226024096385542, -0.35502008032128507, -0.00816064257028093, 0.4251887550200806, 0.3627309236947789, 0.2618473895582327, -0.04053333333333331, 0.7759036144578313, 0.8787148594377512, -0.35502008032128507, 0.27624096385542174, 0.6711646586345381, -0.17342971887550207, -0.7481060240963855, 0.2618473895582327, -0.5001124497991969, -0.9396048192771085, -0.5001124497991969, 0.528, 0.4655421686746988, -0.45975903614457847, 0.9978473895582329, -0.25413654618473913, 1.5099759036144578, 0.1913188755020081, 0.6894136546184741, -0.7057349397590362, -0.3368610441767066, -0.08886746987951799, -1.0424160642570282, -0.00816064257028093, 0.25991967871485944, 0.8081863453815261, 1.0420562248995986, 0.21956626506024124, -0.2522088353413654, 0.27624096385542174, 0.7739759036144576]","[0.15384615384615374, 0.751131221719457, 1.239819004524887, 0.5158371040723981, 0.678733031674208, 0.08144796380090513, 0.9864253393665159, 0.7873303167420813, -0.5701357466063348, -0.8054298642533937, -0.4434389140271493, -0.47963800904977383, 0.4072398190045248, 0.1719457013574659, -0.02714932126696823, 0.4434389140271495, 0.6244343891402715, 0.497737556561086, 1.004524886877828, -0.009049773755656076, 0.8054298642533935, 0.6425339366515836, 0.15384615384615374, 1.3665158371040724, 0.6425339366515836, -0.1357466063348416, -0.009049773755656076, 0.9502262443438916, 0.11764705882352944, 1.1312217194570136, 0.3529411764705883, -0.588235294117647, -0.2262443438914028, 0.47963800904977383, 0.9140271493212668, 1.0950226244343892, 0.5520361990950224, 0.4434389140271495, 0.37104072398190047, 1.0588235294117645, 1.5294117647058822, 0.751131221719457, -0.37104072398190047, 0.8054298642533935, 0.7330316742081449, 0.7330316742081449, 0.4434389140271495, 0.8778280542986425, 0.4615384615384617, 0.5158371040723981, 0.2624434389140271, 0.678733031674208, 0.751131221719457, 0.06334841628959298, 0.751131221719457, 0.28054298642533926, 0.7692307692307692, -0.3891402714932126, 1.257918552036199, 0.8959276018099547, 0.37104072398190047, 0.932126696832579, 0.678733031674208, 0.9502262443438916, 1.1131221719457014, 0.751131221719457, 0.4253393665158369, 1.0950226244343892, 0.7149321266968327, 1.0950226244343892]"
0.0,1,1.0,1.0,"[0.0, 0.5454545454545454]","[0.125, -0.375]","[0.6308112449799199, -0.5606425702811244]","[0.570135746606335, 1.0950226244343892]"
1.0,1,0.0,1.0,[-0.36363636363636354],[-0.25],[-0.1171148594377509],[-1.9276018099547512]
1.0,1,1.0,1.0,[-0.1161616161616162],[0.5863095238095238],[0.7163444890673807],[0.6606334841628959]
0.0,0,0.0,2.0,"[0.18181818181818166, -0.5454545454545454, 0.9090909090909092, 0.7272727272727271, 0.18181818181818166, 0.0, -0.36363636363636354, 1.6363636363636362, 0.0, -0.36363636363636354, -0.36363636363636354, -0.5454545454545454, -0.18181818181818188, 0.7272727272727271, 0.5454545454545454, 0.0, 0.36363636363636376, 0.36363636363636376, 1.8181818181818183, -0.9090909090909092, 0.7272727272727271, 0.7272727272727271, 0.0, 0.0, -0.5454545454545454, 0.36363636363636376, 0.0, -0.18181818181818188, 0.5454545454545454, 1.0909090909090908, 0.36363636363636376, 0.5454545454545454, -0.5454545454545454, -0.9090909090909092, -0.5454545454545454, 0.18181818181818166, -0.5454545454545454, 0.36363636363636376, 0.18181818181818166, -0.18181818181818188, 1.0909090909090908, 1.6363636363636362, 0.18181818181818166, 0.36363636363636376, 1.4545454545454546, 0.7272727272727271, 0.7272727272727271, 0.0, 0.7272727272727271, 0.7272727272727271, 0.7272727272727271, -1.8181818181818181, -1.4545454545454546, 1.272727272727273, 0.18181818181818166, 0.36363636363636376, 0.9090909090909092, -0.18181818181818188, 0.5454545454545454, -0.18181818181818188, -0.9090909090909092, 0.36363636363636376, 0.36363636363636376, 0.36363636363636376, 0.18181818181818166, -0.5454545454545454, -0.36363636363636354, 0.0, 0.18181818181818166, -0.5454545454545454, -0.36363636363636354, 1.272727272727273, 0.5454545454545454, 0.36363636363636376, 0.0, 0.36363636363636376, 0.0, -0.5454545454545454, 1.0909090909090908, 0.9090909090909092, 0.0, 0.36363636363636376, 0.36363636363636376, 0.36363636363636376, -0.36363636363636354, 0.18181818181818166, 0.5454545454545454, 0.0, 0.0, -0.18181818181818188, 0.0, 0.0, -0.5454545454545454, 0.0, 0.18181818181818166, -0.36363636363636354, 0.0, 0.18181818181818166, 0.5454545454545454, -0.7272727272727273, -1.0909090909090908, -0.9090909090909092, 0.36363636363636376, -0.18181818181818188, 0.18181818181818166, 0.7272727272727271, -0.36363636363636354, -0.36363636363636354, 0.5454545454545454, -0.9090909090909092, -0.18181818181818188, 0.0, 0.18181818181818166, -0.7272727272727273, 0.7272727272727271, 0.18181818181818166, -0.7272727272727273, -0.5454545454545454, -0.7272727272727273, 0.36363636363636376, 0.18181818181818166, 0.18181818181818166, -0.36363636363636354, 0.0, 0.18181818181818166, -0.18181818181818188]","[0.375, 1.0, 1.25, 1.5, 0.625, 0.75, 1.625, 1.25, 0.5, 0.5, 0.375, -0.625, 0.5, -0.125, 1.75, -0.125, 0.625, 1.875, 1.75, 1.125, 0.25, 0.625, 0.375, 0.25, 0.75, 1.375, 0.625, 1.5, 0.5, 1.0, 0.875, 0.0, 1.0, 0.25, 0.75, 0.375, 0.875, 0.625, 0.75, 0.125, 1.25, 1.125, 0.125, 0.875, 1.0, 1.125, 1.0, 1.0, 1.125, 2.0, 0.375, -2.0, 0.0, 0.25, 0.25, 0.75, 2.0, 0.25, 0.125, 0.75, 1.25, 0.25, 1.0, 1.25, 0.5, 0.25, 0.625, 0.0, -1.0, 0.125, 0.5, 1.125, 0.875, 0.0, 0.875, 0.875, 0.875, 0.625, -1.0, -0.125, 0.375, 0.0, 0.25, 1.0, 0.5, 0.625, 0.625, 0.625, 0.5, 0.0, 0.5, 1.0, 0.875, 1.25, 0.625, 0.25, -0.125, 0.625, 0.625, 0.75, 0.125, 1.375, -1.25, 0.875, 1.625, 1.0, 0.875, 0.875, 1.375, 0.375, 0.875, 0.75, 0.75, 0.5, 1.0, -0.375, 0.25, 0.5, 0.25, 0.625, -0.75, 1.5, 0.875, 1.125, 1.375, 1.25]","[-0.7339823293172691, 1.1227630522088354, 0.056224899598393385, 1.019951807228916, 0.3223775100401607, -0.21378313253012027, 0.6711646586345381, -0.13307630522088343, 0.4837911646586348, 1.4311967871485947, 1.1227630522088354, 1.201542168674699, 0.7739759036144576, 0.8143293172690762, -0.7902971887550201, 1.2034698795180723, 1.280321285140562, -0.1109718875502006, -0.014303614457831237, 0.9959196787148596, -0.1109718875502006, 0.9795983935742969, 0.09465060240963874, 1.2880321285140561, 0.7922248995983936, 1.201542168674699, -0.04658634538152606, -0.5222168674698795, 0.5683534136546182, -0.3973012048192772, 0.17535742971887558, -0.0706184738955824, -0.0706184738955824, 0.7902971887550203, -0.00816064257028093, 0.9959196787148596, 0.9574939759036143, 0.27816867469879547, 0.27624096385542174, -0.04658634538152606, 0.38281767068273087, 0.03219277108433749, 0.570281124497992, 1.0824096385542168, 0.39694136546184744, 0.9959196787148596, 0.3809799196787149, -0.31659437751003994, 0.4837911646586348, 0.5866024096385543, 0.9978473895582329, 0.6730923694779118, 0.8787148594377512, 0.6730923694779118, 0.7115180722891568, 0.37905220883534163, -0.7278393574297188, 0.9574939759036143, -0.0706184738955824, 0.4655421686746988, 1.201542168674699, 0.9978473895582329, 1.201542168674699, 0.9795983935742969, 0.13500401606425694, 1.0824096385542168, 1.3283855421686748, 1.019951807228916, 0.3627309236947789, -0.0706184738955824, 0.5462489959839356, -0.19167871485943766, 0.6087068273092369, 0.8546827309236948, 0.751871485943775, -1.2015421686746988, -0.00816064257028093, 0.8546827309236948, 0.5462489959839356, 1.3927710843373493, -1.2197911646586346, 1.098730923694779, -1.0362730923694778, -0.31659437751003994, -0.5846746987951807, -0.04658634538152606, -0.19167871485943766, 0.7739759036144576, 0.4655421686746988, 1.1006586345381528, 0.6711646586345381, 0.0139437751004019, -0.9396048192771085, 0.056224899598393385, 0.5462489959839356, -0.6634538152610441, 0.0542971887550201, -0.08886746987951799, -0.1109718875502006, 0.21956626506024124, 0.4655421686746988, -0.45975903614457847, -0.04658634538152606, -0.04851405622489957, -0.3973012048192772, -0.8085461847389559, -0.9113574297188756, 0.4674698795180725, -0.15132530120481924, -1.0424160642570282, -0.42554859437751014, -0.19167871485943766, -1.2197911646586346, 0.9795983935742969, -1.5282248995983936, -0.3569477911646588, 0.9959196787148596, -0.5625702811244981, 0.09465060240963874, 0.9795983935742969, 0.15710843373493955, 1.0420562248995986, 0.9574939759036143, -0.19167871485943766, -0.5625702811244981, -0.7339823293172691]","[0.4253393665158369, 0.7149321266968327, 0.3891402714932126, 0.4072398190045248, 0.6425339366515836, 0.8959276018099547, 0.932126696832579, 0.9502262443438916, 0.4253393665158369, 0.751131221719457, 0.2624434389140271, 0.6244343891402715, 0.02714932126696823, 0.7692307692307692, 0.5882352941176472, 0.8416289592760182, 0.5520361990950224, -0.11764705882352944, -0.09954751131221728, 1.004524886877828, 0.8416289592760182, 0.932126696832579, 1.0407239819004523, 0.8959276018099547, 1.2036199095022626, 0.6063348416289593, 1.1674208144796379, 0.1719457013574659, 1.2036199095022626, 0.009049773755656076, 0.5158371040723981, 0.3891402714932126, 0.2986425339366514, 1.8371040723981902, 0.08144796380090513, -0.045248868778280604, 0.1719457013574659, 0.497737556561086, 0.7330316742081449, 0.3529411764705883, 0.04524886877828038, 0.4434389140271495, 0.8235294117647061, 1.3665158371040724, 0.20814479638009065, 0.316742081447964, 0.5339366515837103, -0.09954751131221728, -0.29864253393665163, -0.6244343891402715, -0.5158371040723981, 0.3529411764705883, 1.2036199095022626, 0.6063348416289593, 0.497737556561086, 0.5339366515837103, 0.3891402714932126, 0.6425339366515836, 0.1900452488687785, 0.678733031674208, 0.8959276018099547, 1.5294117647058822, 0.8054298642533935, 0.932126696832579, 1.1312217194570136, 1.4208144796380089, 1.004524886877828, -0.3891402714932126, -0.3167420814479638, 0.47963800904977383, 0.4434389140271495, 0.570135746606335, -0.1357466063348416, 0.9864253393665159, 0.4072398190045248, -0.11764705882352944, 0.20814479638009065, 0.4253393665158369, 0.4615384615384617, 0.7873303167420813, 0.47963800904977383, 0.7692307692307692, 0.04524886877828038, 0.7873303167420813, -0.045248868778280604, 0.08144796380090513, -0.06334841628959276, 0.2262443438914028, 0.751131221719457, 0.6606334841628958, 0.6968325791855206, 0.9140271493212668, 0.33484162895927616, 0.9683257918552037, 1.1493212669683257, 0.7873303167420813, 0.15384615384615374, 0.1357466063348416, 0.5158371040723981, 1.257918552036199, 1.6923076923076925, 0.8597285067873304, -0.19004524886877827, 0.5158371040723981, 0.4072398190045248, 0.751131221719457, 0.37104072398190047, 0.6425339366515836, 0.6968325791855206, 1.0588235294117645, 1.0226244343891402, 0.8597285067873304, 0.6425339366515836, 1.1312217194570136, 0.7873303167420813, 0.6606334841628958, 1.257918552036199, 0.7873303167420813, 0.9683257918552037, 0.6425339366515836, 0.7692307692307692, 0.6968325791855206, 1.3303167420814481, 0.678733031674208, 1.2036199095022626, 0.7149321266968327]"
0.0,0,1.0,2.0,"[0.36363636363636376, 0.7272727272727271]","[0.75, 0.75]","[0.8950361445783135, 1.3283855421686748]","[0.7149321266968327, 1.6923076923076925]"
